2020/08/30 21:18:16 considering 3498 tasks
2020/08/30 21:18:16 
2020/08/30 21:18:16 [*] coverage: 54.40%, md5: bc07be7117bf0552babdbc92bf194e1f, uuid: 71d4dd8c-f984-461d-8ddf-a32283f78d33, profile: aassa.bat
2020/08/30 21:18:16 P: 1.00, md5: cec40599401b5f1a963bbecd2c590030, uuid: ebef3a27-d4b9-431a-a368-30ad6fe0437b, name: RFQuotation _pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 40c25ebc925ed21d6a50de1a19992636, uuid: efd012eb-e98f-4e2b-834c-09677767b172, name: d7daf5f9c665489840b950ba0cc4e76589902341e1c0d3e80417107ffe6f1711.bin
2020/08/30 21:18:16 P: 1.00, md5: 68b61d17656ea8650c6cad592e7c2dca, uuid: f7d40e34-01e9-4e98-b775-bcae7a266f98, name: GND-63474467833707_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: e5bb07a242de098b5742362919c056c7, uuid: 01a2cedd-ab1e-43b0-90af-8fe8222f5b6e, name: PROFORMA INVOICE_PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: 964afb991924a96eff87cb032f8451d0, uuid: cb79dc73-e170-4732-922a-32ec0b9b694e, name: Document_PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: 9c2789839fee48a7f68a3b6e8101eddd, uuid: 5c6abdb2-51be-4886-9c1a-55fbb38e7669, name: D2DP2003-002 (Cobra system-OEM Actuation Kit).exe
2020/08/30 21:18:16 P: 1.00, md5: 693a29c5bb478dec2c34068cce59f608, uuid: 2aacf42a-6384-48bd-bc85-44b7534c2412, name: makave (2)_7798.bin
2020/08/30 21:18:16 P: 1.00, md5: 70be8703249e9c0cef0928af63f23012, uuid: 6c90c17c-ed86-4cf2-b2f5-c642c2ce06ed, name: სავარაუდო საბანკო ანგარიშების ჩამონათვალი.exe
2020/08/30 21:18:16 P: 1.00, md5: ad1b6cc38f32f1dc4d52a451d8a93354, uuid: 79ec72ab-f00f-413b-8dec-f330668078dc, name: bc22ac9100ebeb49dda854dcbb7112785e80d2b677c2156d65017c4e46b0b63a.exe
2020/08/30 21:18:16 P: 1.00, md5: 6539a9cf4ad68c9feca834acd60c870d, uuid: f68aaae9-762d-4267-b2c2-9f9c2a7ad446, name: captz.exe
2020/08/30 21:18:16 P: 1.00, md5: 82af67eeb1e0541895e535935b373ccd, uuid: 575ac093-b646-4255-b40e-2ef590450b7a, name: cream_protected_3ABF400.exe
2020/08/30 21:18:16 P: 1.00, md5: 0699e816caae50c8ed129ec0ec5ab652, uuid: 6206b4f9-1f1d-4a1e-add4-d33beea19eb3, name: RFQ_Utility Pumps_FSSG Project.exe
2020/08/30 21:18:16 P: 1.00, md5: b61d0dc84e2bb0fb8b26ebec98284be4, uuid: 2b979e28-1dac-425b-b4d8-8e654fda9435, name: bb9c5269c6275ffaee9d241ac2a3efc1e5cd1c851aeea7527e542fada53c4a23
2020/08/30 21:18:16 P: 1.00, md5: e486e900301135624e77049d97da1120, uuid: d1772485-4798-4ab3-ba09-270e663b0897, name: strangerdanger.exe
2020/08/30 21:18:16 P: 1.00, md5: 02c866a5b72c7b8d0489c7f41c6feb6d, uuid: 5465033b-0ea3-459f-8bb5-98230bc73754, name: TOP URGENT!! RFQ  ayer(PRSB).exe
2020/08/30 21:18:16 P: 1.00, md5: cb4cacc42b035264d6241bdeea8b5b82, uuid: 73a3b177-7514-4e20-9009-bb4777dfb20c, name: M190 1205.exe
2020/08/30 21:18:16 P: 1.00, md5: 604ee583a7afcfe26850722702dcf71c, uuid: 0028b8eb-ef8e-4ab3-8871-bd39d00668e0, name: Rf.65788_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 23aa5a45a804d0ec14766800f8cbb3e6, uuid: c321efdd-a95c-40a2-a317-c21f0a822b38, name: __, TT_PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: 8bfb664b07656f3345c3fb40bc7de78f, uuid: a44d1afa-3522-4354-a5b3-636164ca05ea, name: chigocrrr.exe
2020/08/30 21:18:16 P: 1.00, md5: f4e42f9142c602d66cc251b2d1011523, uuid: ff5fb3a7-38bb-4c58-822d-858e4da0deaa, name: Swift.pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: e13c040aa937ecf64812eed04894642e, uuid: 71b0e478-6960-489b-a502-cd8a787bf169, name: CL22_772_PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: 98811a62824daf39d697cd91ac4f6e4e, uuid: 9696ffe4-a864-4f8c-95c3-7fbe49ad5f52, name: QUOTE LP-008-2020 - ELSE project.exe
2020/08/30 21:18:16 P: 1.00, md5: 201c9a791336206e1ed9c60956d16aaa, uuid: f1d89e33-6290-4fe4-86da-c544f3c01798, name: scan copy-21036_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: b1f66e20a8a40a68df47187e677408cc, uuid: 39870cc6-4ee8-4041-9edb-d25b0b78a626, name: SC-08947.exe
2020/08/30 21:18:16 P: 1.00, md5: c253b24df5a3407f2888a20a7f15440c, uuid: ddfbee01-308d-42d7-9e6d-92c5c9bd9b19, name: INV&BL.exe
2020/08/30 21:18:16 P: 1.00, md5: ecf8dcf4d3d5122816d2f285c2c0a993, uuid: 20a704e0-43b5-4122-95f2-86c064cd50eb, name: 견적요청서.exe
2020/08/30 21:18:16 P: 1.00, md5: 06e99551cb8a54299a8e367d399762e6, uuid: 623f4ad0-24f9-43f6-a92a-fe97f0d9b400, name: ahihi.exe
2020/08/30 21:18:16 P: 1.00, md5: a8efd8f09c77d3b525c3d872acd6e988, uuid: 7e5a7cd7-a388-42a8-b154-d205b6d6538f, name: INV-2194329VE9.exe
2020/08/30 21:18:16 P: 1.00, md5: 239c9fcfe46998f58f2d4e9cb54f26d9, uuid: be78388d-bf18-4880-8f16-1a6290fea0dc, name: ink.exe
2020/08/30 21:18:16 P: 1.00, md5: 4ffc3543a852763f585b63f5f9a0d58f, uuid: e68c80dc-eac0-46e7-a346-3e49324c4dc1, name: 3420a7b543b869970d669c3b79c9f20478d25dd4e1a31cba69c5e841487f0fa6
2020/08/30 21:18:16 P: 1.00, md5: 6c57a1bfa3c63eeb9145ccc5e02af251, uuid: 904abf72-63a7-4d8c-9be4-d25ca3872cbf, name: VAT Return Submission____pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 4827c80107aec68951afebab76916c54, uuid: 924f474a-63ae-4c7b-b604-c6db09f87d33, name: ORDER.exe
2020/08/30 21:18:16 P: 1.00, md5: 5fb4a2ce3c0b2dfe5fbe26ffea26d7f9, uuid: dfa2247a-e9bd-40d0-aefb-37f8cc066c43, name: fad77776613180438b9e9b8b724522ee7ccdb70f82aca87eea727bfbb40e8b00.exe
2020/08/30 21:18:16 P: 1.00, md5: 5185871926a3d76d90ded3754cf80e87, uuid: 31ba7437-9a77-4b60-b47c-c6d831940945, name: PIEDĀVĀJUMA PIEPRASĪJUMS 07-04-2020pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: db28894a158232a092b23546d7047e4f, uuid: 06b62dae-e823-4aa2-a9fd-fb63f742dfc4, name: DHLinvoiceCAI0000400089_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: d2e1358df53c86e937cd0ebce904ce37, uuid: 2386806d-aedf-4934-a4c2-ef3b80c20804, name: 08e552f54e65ed655a29c9e3b8bbb71157eeec1239abec564e69e715e9e2ac7a
2020/08/30 21:18:16 P: 1.00, md5: f3c6e49ce9bc7bd5c6114ffd4e7e353d, uuid: 984b1b93-c077-4657-9d19-713403171cb5, name: kYOCERA_93472832686654.exe
2020/08/30 21:18:16 P: 1.00, md5: 8c336cebff3077bc6b665242b8ce3fb4, uuid: 02c07088-1f8d-402b-8b71-1d812ae27905, name: d4d4cb90a9f97f0d8aae9652b232a882893d74cb38e0ebf19e66cf2731736388
2020/08/30 21:18:16 P: 1.00, md5: 4fba334911764ea0fb5ec0eabb43448e, uuid: 2c98325b-6ce3-4449-8591-98cd132c7757, name: PO 5342553423 (20200117843848).exe
2020/08/30 21:18:16 P: 1.00, md5: b34f704b0a2a783d2c065c0d6aea75a2, uuid: f780841a-3a00-4b79-9b7e-434ba3e018d6, name: dc9c4bb8db7e3b0d26dab3572df9ab97cd0218c14a17621104c2a6c095a61f40.exe
2020/08/30 21:18:16 P: 1.00, md5: cf3ed3aaf24fe980df98cd97246898c5, uuid: 0ef559e3-f1cc-40ff-a61a-d82d1eea30d6, name: 90001323_S901558.exe
2020/08/30 21:18:16 P: 1.00, md5: c26ce6f194996d48325f6f3c7b2f1c68, uuid: efec654d-92f6-488e-bb22-20f12df98788, name: MV.RHL VARESIA.exe
2020/08/30 21:18:16 P: 1.00, md5: 335a7bcf74be1135acc44ce81bc377b1, uuid: 95793b75-e8b6-4836-a5af-1851472a3603, name: scan.exe
2020/08/30 21:18:16 P: 1.00, md5: 6e527d87d1b14a94fe234e4b9f4705e9, uuid: 7916e6a1-3f39-4f66-af50-93197da12277, name: out.exe
2020/08/30 21:18:16 P: 1.00, md5: a3be3b74d0ea7f1fb645a7806bff4260, uuid: 730c55a1-bbc7-474b-ba3b-5ec23ec48ad5, name: Purchase order.exe
2020/08/30 21:18:16 P: 1.00, md5: b2d49c048ae10edcf70e0815a99b0b2a, uuid: 985b67df-d059-4063-b3d3-81c68e051b7d, name: CI&BL.exe
2020/08/30 21:18:16 P: 1.00, md5: e7f90c7b3110aef509914ae7b91ca47c, uuid: db4e624d-2878-461c-a000-56d1f872bc22, name: temple cripted filez.exe
2020/08/30 21:18:16 P: 1.00, md5: a7a9900b74d3dd9c91bef061be7e1c3b, uuid: 75202b33-5922-4521-be73-afbc0d63538f, name: PO.exe
2020/08/30 21:18:16 P: 1.00, md5: b14df6e9f72048ed288e0340126bb3fb, uuid: 0d1d3c82-ee8a-4943-a27a-3a2937596676, name: Payment Details.exe
2020/08/30 21:18:16 P: 1.00, md5: db7d0e4d92782a5751931020c9f360c6, uuid: 8207218f-a1aa-4227-aa07-cb26653bba4c, name: DIRIMENTKAM.exe
2020/08/30 21:18:16 P: 1.00, md5: 60ca4a1cb2ce196142efe99c6c546195, uuid: aeb5567a-ff53-486c-8107-4b8f1c9f4e31, name: Nicht bestätigt 28553.crdownload
2020/08/30 21:18:16 P: 1.00, md5: e53d423436d950224196f8de0125907a, uuid: 79ee9fb5-d6eb-4971-8f9d-6cfba1d33c50, name: REQUEST FOR OFFER 06-2019·pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 167831302d24314ce22839250483d688, uuid: cb28a8a6-30a2-4161-92f3-1f1630940d7c, name: shipping document pl&bl draft.exe
2020/08/30 21:18:16 P: 1.00, md5: 8d02eaf7a98a15413591d4594d519c92, uuid: 2d0fa606-21d6-4330-a368-44194bc233dc, name: taco.exe
2020/08/30 21:18:16 P: 1.00, md5: b144f0c748bcc007d1890aa0255337fa, uuid: ab0a3686-aa15-4caa-8ac9-69edce69547b, name: li.exe
2020/08/30 21:18:16 P: 1.00, md5: 804df342d8811679a37cc1b65f362aea, uuid: fdcdf756-a900-4540-93ec-a01d4c471547, name: loki.exe
2020/08/30 21:18:16 P: 1.00, md5: 63b3a28991e59ac0103111cc8336f81c, uuid: 248a6319-5f01-4368-80b4-016bf1a570fd, name: invoice_001.exe
2020/08/30 21:18:16 P: 1.00, md5: 005b28e070f618ee0322b950e623f951, uuid: 9ca7281f-9cb1-4ca8-ac9a-be4f9c28f523, name: MV DA TAI Ship’s particulars-doc.exe
2020/08/30 21:18:16 P: 1.00, md5: 287e7fa1129292a85b8a4dc6bb81d93f, uuid: 5ae392b3-0776-4cf4-8e55-106460096f59, name: DHL Shipment _invoice.exe
2020/08/30 21:18:16 P: 1.00, md5: 1175ca57e5081959b482f339e61f503c, uuid: e22d0aaf-49b1-4ecd-a82c-01297240472d, name: Revised PO916b_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 64c76ce243ba2e62277d358280ed6492, uuid: ea11732a-1a98-40eb-8275-4e9ea7db2fc6, name: kenlawx.exe
2020/08/30 21:18:16 P: 1.00, md5: c7c69571e1cec97508061c0f74b82990, uuid: a1256b30-3d61-45d3-b437-9f0735545d0c, name: DHL Consignment Details_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 8dc914d5da52911d38df9f43b9d7acd8, uuid: 60e7a141-f5f7-4aa9-b40a-005cf08d24e4, name: MGG.exe
2020/08/30 21:18:16 P: 1.00, md5: 6b2bb652d35ead55b0d417f072f04090, uuid: 2963fa31-b323-419a-8812-718a96ddde9b, name: IMG_5660,jpg.exe
2020/08/30 21:18:16 P: 1.00, md5: 1400227325044e52de971b2653653d47, uuid: 776e6460-2d60-4655-8cc2-77cc20b90b90, name: 96ab7c63910d104922eec7799742401b50ae2f8fa9a4f038cf3b582fe2929dd1(1)
2020/08/30 21:18:16 P: 1.00, md5: a0cc7a9bb8dda36066c48463539397f9, uuid: e9a51a3d-f259-4b37-b2a8-c4612f00cc0e, name: rick.exe
2020/08/30 21:18:16 P: 1.00, md5: 8a235751fedf3e6dbee60271b5e5c0ee, uuid: 0cdc281d-8d0b-4e20-b196-d54f3a16def2, name: kyc_form_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 701e313e93b5b428d65d177c6d079f3f, uuid: 6645d8b0-328e-49f9-ab97-cc7117c5e55b, name: leu.exe
2020/08/30 21:18:16 P: 1.00, md5: 977016c06bf5bdd00959588b32353958, uuid: f6019b50-722e-4824-b2a9-4a5b8cfbf7f5, name: Ciesse_Srl ongoing Project #67297.exe
2020/08/30 21:18:16 P: 1.00, md5: 9945bc01a8991b69e95c46908df9b7f8, uuid: 5649f6ef-a39f-482b-aafd-7dc40f7a2fbd, name: 9945bc01a8991b69e95c46908df9b7f8
2020/08/30 21:18:16 P: 1.00, md5: e13c040aa937ecf64812eed04894642e, uuid: 20e680ef-9f53-46fd-9d92-9da230f19595, name: CL22_772_PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: 1a4c44e80fd1bdbbd3f6a5268c4aa1a7, uuid: 3a66353b-f561-4cc5-b09a-2fc6447030f1, name: scan copy-10916_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: d49a4bb4810c06a861e55b8aed584eca, uuid: 3a385e13-e6f0-46ed-b8ed-f50830324838, name: Agency Appoinment Letter MT OCEAN CHEMIST_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: a844786ea7c707fca849b6877266cecc, uuid: 38ff4688-7ab9-4ab6-9efb-b1139b284423, name: Doc-KT20201103_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: c3c89846cf8a30fdc7449276f0aa7002, uuid: 602238d4-75ea-4bcf-bc90-3e320c2b48c7, name: evelongdele.exe
2020/08/30 21:18:16 P: 1.00, md5: ff2e8e09c6204a6f7eed35bfafa03340, uuid: 0b2fca2c-88b9-4f16-bb36-369d9ecfed01, name: 046COMGIRO118087  4680000pdf__________________________353535.exe
2020/08/30 21:18:16 P: 1.00, md5: c734fe2698ad42d94407c58072bc4259, uuid: b25e2a68-3670-4381-82f3-b2d1d1218f51, name: SC_Payment Advice 100089452020.exe
2020/08/30 21:18:16 P: 1.00, md5: f5d85357950f183fa70570e7f6e68ffc, uuid: 65ba2443-4100-4070-982a-0a392e8c3859, name: A71D80.exe
2020/08/30 21:18:16 P: 1.00, md5: f2ae0eab95338d88fe2c5c02d5fa11a9, uuid: 52569a21-0169-4cec-ac55-517729da3595, name: pruebaL.exe
2020/08/30 21:18:16 P: 1.00, md5: d3cf3adb827f41b1c4049c956d075c78, uuid: 3053715e-3402-43a0-93dc-4ba467ca0b3a, name: BD22E5.ex_
2020/08/30 21:18:16 P: 1.00, md5: f78bee88e8ae21ad01e56430535ffa56, uuid: 9d0d43d8-cdfd-4be6-ad9a-96347339e787, name: Payment Advice Advice RefGLV322025643ACH credits.exe
2020/08/30 21:18:16 P: 1.00, md5: 1c3f7885aa4060dc82569760eb714ee8, uuid: e14bac38-4ad2-40f7-9710-004c4de957dd, name: mondi.exe
2020/08/30 21:18:16 P: 1.00, md5: 644411746eb2399ecd03079682e8c175, uuid: 15def90e-b348-4aab-bf17-5d690eb8b97e, name: Scanned copy-file011_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 8f1b507cf2e33679de8c913bdb5ddd8d, uuid: 5087d46b-4d98-4604-a6c1-5efea55929e0, name: MV MOUNT ADAMS.exe
2020/08/30 21:18:16 P: 1.00, md5: 66ee3deb5f05181e228fc593c3f28f3a, uuid: a56fe2e4-c4c5-4432-ac3b-292cf01d73f0, name: Emergency Regulation.exe
2020/08/30 21:18:16 P: 1.00, md5: 85f6d8f68862bc95ab801c6c9a15b540, uuid: 056ca261-e6e2-400b-b067-27c00498be3d, name: SWIFT_02252020_2094794300333_PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: a7d240473e3d622b29363fb2a07a3928, uuid: bc924ec6-b2ee-4068-b540-c5e7c82012f0, name: Bank_Slip_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: e9fd2ba06c5f672bfd09ee0d57c8abb0, uuid: fa475ac6-6ea3-4144-b905-2ad320501073, name: PO.exe
2020/08/30 21:18:16 P: 1.00, md5: f643558d76135443703036c61ea7e711, uuid: a60798cc-49cb-4d9b-ba75-0ddaf41b5da9, name: 00bbd163c45328f98716cea3b13369b268c34532.exe
2020/08/30 21:18:16 P: 1.00, md5: e77c1a26c4211d60f82771862f97f052, uuid: c9a59d77-1f17-4e80-8f24-9ecdf82ef21e, name: 11.exe
2020/08/30 21:18:16 P: 1.00, md5: b0328cf3125e5011da03936abbd78665, uuid: a60fdcaa-71f5-480d-8916-df24fe6a15b7, name: hj.exe
2020/08/30 21:18:16 P: 1.00, md5: 1bb33afe1cfa2ff5f7bbd0aa494da589, uuid: b5eb80ec-c247-4e76-9864-85ecc9143b28, name: A TEX INQUIRY 2020_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 47dd5e3af67ab75b04925fedc9bdf44b, uuid: 7601c578-e3d7-42d0-8be4-f7eb06662330, name: Swift_MT103754854_.exe
2020/08/30 21:18:16 P: 1.00, md5: 36b07430f570196aa2d904c4ecff9aaf, uuid: 6434d923-5185-4def-82b9-5d331a3af008, name: RH820830_RH5701_RH90712_RH9485_HKG-ALA_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: b16046afc32b5b616d664a2ede31c375, uuid: b1e6d5af-3e74-446c-93e3-62c582dfa0f9, name: swift_bank_copy_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: b6b2f9a47add98cc4d4994d4a787856c, uuid: 0624e6e2-9a44-4452-b2ed-2d7734daea72, name: d501ee2848d47b0319bd3fb2450509b7081979456416913dc30bc98f1922f67f
2020/08/30 21:18:16 P: 1.00, md5: 2a0a51fd2ace173391db75b38fe22957, uuid: 4dc364af-4630-41ac-96ad-ee997b51a3cb, name: SwiftCopy$89500-06-20.exe
2020/08/30 21:18:16 P: 1.00, md5: a4de47e801a7309a3b5dc761da0605f9, uuid: 26572b59-4cee-48e7-856d-709aa2e2f184, name: Copies Of Consignment.exe
2020/08/30 21:18:16 P: 1.00, md5: d21eab158a7065215547abb2ab60b3dc, uuid: 806a1d77-b0b2-436f-bea2-91d0d791ec6c, name: PO#014022.exe
2020/08/30 21:18:16 P: 1.00, md5: b1580c30ec4ac9be2ef301e3f3a87856, uuid: 0c703a5c-075f-43ea-98c8-1c5844e8ac4f, name: 3cf48b4b1bee757721bef9ffa1adca21ec1939fb17c5b08a70597c1579931aed
2020/08/30 21:18:16 P: 1.00, md5: 732c37a7fb5c2a08603c7998e41b9f86, uuid: 30b1b204-c6cf-46c9-a391-a3a7f0f59ba9, name: ccc.exe
2020/08/30 21:18:16 P: 1.00, md5: 82481206d7b681de6d10942a57d33e03, uuid: 8c9df70c-f040-46a8-a3c0-ebc8545f046e, name: SUB-AGENCY.exe
2020/08/30 21:18:16 P: 1.00, md5: f52fbb02ac0666cae74fc389b1844e98, uuid: a10bd3cc-cf43-4417-a0b4-62d1d5b9486b, name: RFQ For New Supply #PO_0004571385412_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: e50abf7b3bcde25b111b1ceb086deff9, uuid: c094069d-9948-4273-8f99-94cf95aaebac, name: e50abf7b3bcde25b111b1ceb086deff9.exe
2020/08/30 21:18:16 P: 1.00, md5: 3439138af621ae8ce34c9b8e9f1aa442, uuid: 0c9347dd-e4c6-48e9-8216-2e13c14a387f, name: Malware1.exe
2020/08/30 21:18:16 P: 1.00, md5: 375ea2fa90fc07834950711f38557c7d, uuid: 3091e41d-336a-47c1-bb9e-c75fd3d06776, name: scan14022020INV.exe
2020/08/30 21:18:16 P: 1.00, md5: 6ea5918264f32ac2599fa50adf8b03df, uuid: 1248ab72-b0de-4ebc-af9e-3b6f68a70d86, name: Wire Transfer USD 32,250_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: b86eb1424b1f59c7db4c2a23b14a934b, uuid: e0296815-ebdf-43ce-87c3-22fabbaa4f07, name: YOGHU.exe
2020/08/30 21:18:16 P: 1.00, md5: 72d968d0cb4e205738a7548b0aad9afe, uuid: 0f7d07aa-e4be-4f8e-b698-3f8007baf558, name: Shipping_Documents_doc.exe
2020/08/30 21:18:16 P: 1.00, md5: b34f704b0a2a783d2c065c0d6aea75a2, uuid: 7f753e44-cd4a-4e2f-8eb2-74509e8e9914, name: SQ_doc-09588.exe
2020/08/30 21:18:16 P: 1.00, md5: fe90a5560a67ab98e0a6712ab27218c9, uuid: e6ad4937-c9dd-449c-b6e5-caee30d53476, name: makave_protected_EE5B63F.exe
2020/08/30 21:18:16 P: 1.00, md5: 0e8d9efaa908f1e004e19ef333c5c54b, uuid: 06726ef3-47bf-411e-b1c6-ba0a55694bbb, name: DYHGdum3rXOfcuS.exe
2020/08/30 21:18:16 P: 1.00, md5: 2ddf0c4e3ed99cdc598960035d5b61dc, uuid: 9c5eeeaf-7907-44cd-bba4-5f35e1e56fd5, name: sample14.exe
2020/08/30 21:18:16 P: 1.00, md5: b94357190c66f4c6eb28a8ed0cb865bb, uuid: b500d363-4ccf-4dfc-94fd-84d62786c74c, name: 31b18a75136ec23d4fc88f87735a970230825233fa6bc80cf5ad7d97ef2d5ae5
2020/08/30 21:18:16 P: 1.00, md5: 6b684ead91fbd52d3039ce9b9ea2632d, uuid: bb0ac3f5-b40f-4907-9ade-6e69dde2cc27, name: AD20200022800003LH-PDF.exe
2020/08/30 21:18:16 P: 1.00, md5: 04e4323983bc269ae1bcacf7e17e5b5a, uuid: 0cef6865-766a-4ef8-914e-a1bcbf6b1eae, name: 430b68a5a99d2648e1b4c001d8deab8b429f057a.exe
2020/08/30 21:18:16 P: 1.00, md5: c0dacf89e6531dadbe73f8289e4fb6b6, uuid: 69193d3f-ffe6-4db8-ba64-b408caeffde0, name: Textsemiotician7.exe
2020/08/30 21:18:16 P: 1.00, md5: f643558d76135443703036c61ea7e711, uuid: cf97b504-2c75-49f9-b55e-b51bf0f31e7f, name: 5 .Project Specifications.exe
2020/08/30 21:18:16 P: 1.00, md5: 0ff26d6593c18e567b7ec30052ae6df0, uuid: eace9a1e-cb18-4b8a-adf0-c5e19e17a301, name: Document-1943564696706560605IMG.iso.exe
2020/08/30 21:18:16 P: 1.00, md5: 32f631c0a828105df2bc00ca504c78d3, uuid: 3368127d-01bf-486d-b171-e423a73b5d02, name: Order Specification.exe
2020/08/30 21:18:16 P: 1.00, md5: 42652d94475e958a07f2121228c110e6, uuid: 95e1e0d0-8f81-4fd1-aba8-bc254575ef19, name: qhwbuzx1.awm.exe
2020/08/30 21:18:16 P: 1.00, md5: b5af20a670c4d34983c684475e9c98e7, uuid: 220ca2dc-4a3a-4cb8-8261-9fc851c31eea, name: scan10000001_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 8a235751fedf3e6dbee60271b5e5c0ee, uuid: 6861dbd3-702c-4180-a6cb-8e4bbea7bf80, name: kyc_form_pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: bbed451693199e6a4de0b03447a884b6, uuid: 934ec7a3-3634-40d2-9ea9-e4a74eda2c2e, name: 64b2b3a41ad0bab424c8c341c58bc8b80b3424785689dc9a9238315440502c26
2020/08/30 21:18:16 P: 1.00, md5: cf3ed3aaf24fe980df98cd97246898c5, uuid: 4fbef2dd-8512-46bc-a783-d5c62d2ad4e7, name: be2ed74472badcb652fa99e0477e43ba52cfead2.exe
2020/08/30 21:18:16 P: 1.00, md5: b253c6aa78b0bc903cb9b430b37ea2ac, uuid: a7d19feb-f245-488a-a6df-563b1cbd4151, name: LSP0FE130620EILV010-pneumatic_valve-Butterfly_valve_list.exe
2020/08/30 21:18:16 P: 1.00, md5: d2e1358df53c86e937cd0ebce904ce37, uuid: 9288eee7-a2be-4276-b230-9faf4503c37b, name: 08e552f54e65ed655a29c9e3b8bbb71157eeec1239abec564e69e715e9e2ac7a
2020/08/30 21:18:16 P: 1.00, md5: b1316d62f17fde7d6d13ec00c04dd5b3, uuid: 1b3c6c27-dd88-44a9-95aa-a09a8855a6fd, name: mv Khosrov Bey.exe
2020/08/30 21:18:16 P: 1.00, md5: d43d9558d37cdac1690fdeec0af1b38d, uuid: 4e194a03-9ea3-4314-93a8-2d2bd5ef10c6, name: 1-_____ ___-______ _____ _____ ______-_____.pdf.exe
2020/08/30 21:18:16 P: 1.00, md5: 8b98f0549812fc994f2f9dd8f1681899, uuid: 0fc83100-209d-4414-aeb9-4bb59cdb90d9, name: duncan_9603.exe
2020/08/30 21:18:16 P: 1.00, md5: 457cb6f4b440ab042266d3940243a368, uuid: 25fa11e6-8a4f-42a3-9d41-10db94770e40, name: Loki1_650F.exe
2020/08/30 21:18:16 P: 1.00, md5: 0986490ee61401b38cd7501f1f4b8079, uuid: 4949da7b-7d62-4447-af9b-2b4be5d74196, name: d5d013139556ba0c72f4299c930daac001b25c1d7203123d3057f84bd79cffc5
2020/08/30 21:18:16 P: 1.00, md5: 5faee40ac40652fd78b881b38cae3561, uuid: af603751-0271-40f1-bf0e-10f58362132e, name: dbb42dc53582e8a1d75f48f1d38e14d7ad400bc0.exe
2020/08/30 21:18:16 P: 1.00, md5: 8b3669c65d72cec7eabfea8f094761cf, uuid: cc3f351a-54c9-4dbb-94a1-ccb0c5846959, name: SQ_0854.exe
2020/08/30 21:18:16 P: 1.00, md5: de7efe5a27c3b09b9b1f2855a82b4926, uuid: cd988888-b9ca-40ad-9ca2-d517bae89a05, name: a909c9a8e10392e6135992179bdf0e301f37d784
2020/08/30 21:18:16 P: 1.00, md5: f3fec1cb36a9b04a9a030ece7c3eca68, uuid: 2060a89e-d44b-4493-bfd2-139acc666504, name: PO.exe
2020/08/30 21:18:16 P: 1.00, md5: 9a73a437c95261324918c58dd1777372, uuid: f4d278bd-3e8b-4259-9977-8058dc9d76f4, name: New China Order.exe
2020/08/30 21:18:16 P: 1.00, md5: 4455fa76e43eedafeceb59c3fb328d18, uuid: 3daa7edb-9ea3-4e41-b6d2-d3e8ea57edb3, name: OS_.exe
2020/08/30 21:18:16 P: 1.00, md5: 8adb8c9eb440901bb2f7dcf4d861beaa, uuid: cd874c27-f38d-4ebd-8796-9b573908ec22, name: PO200500076,xls.exe
2020/08/30 21:18:16 P: 1.00, md5: 5c3c672773cb4d22c5a500aaa0af0032, uuid: 075b3119-0934-4009-8517-0bd06df2654e, name: payment.exe
2020/08/30 21:18:16 P: 1.00, md5: eccad903b4c27d149e159338f58481a9, uuid: 67455943-6d4b-4d4d-b251-b03a2247c40c, name: data
2020/08/30 21:18:16 P: 1.00, md5: baa6b741114d208c28223e87e29352a9, uuid: a8a90528-6f89-417f-9303-3b2f1b5b807e, name: PT_JAYA_.SCR
